Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
GTEX-16NGA-0826-SM-718AF	0.182017118602689	0	0.122457628683034	0.124273297942797	0	0.164255058079397	0	0.0805123343383271	0	0	0	0.0319261178090017	0.0164373224968738	0	0.00930407472496447	0.153361457279952	0	0	0.114255584180158	0.00120000586280682	0	0	0.011	0.288038115416282	0.972737655619279	2.6235
GTEX-16YQH-2826-SM-6PAMY	0.0461342515162452	0	0	0.0382196126046072	0	0.143722452381534	0	0.0273440938067694	0	0	0	0.0575962115024805	0.1058731848325	0	0.0254142136488177	0.339783601927965	0	0	0.0625775394944983	0.153334838284582	0	0	0.14	0.0858134074615512	1.05866922448384	2.5285
GTEX-17EUY-1926-SM-7DUF6	0.216454892346106	0	0.00997106149773678	0.05537258219769	0	0.111441374856385	0	0.138686610829471	0.00524399662941625	0	0.115095840415175	0	0.10324072056626	0.0623163991863125	0.00185099586075281	0.0503244127566123	0	0.00487083415860277	0.122717541186531	0	0	0.00241273751294671	0.481	0.017227278309164	1.08163733561415	1.479
GTEX-17EVP-0226-SM-79OND	0.096807718241756	0	0.00186770347727437	0.0134686335772128	0	0.193550832942085	0	0.060577084072447	0	0	0.0380758125346753	0.0246458029884339	0.0824478651178653	0.0351868104761983	0.050688364116833	0.284925100589935	0	0	0.113083981227768	0.00467429063751613	0	0	0.236	0.0593399492314957	1.05101485842854	3
GTEX-17EVQ-0426-SM-7LG57	0.0596420307219985	0	0	0.0576856058402724	0	0.0881453965348871	0	0.0248271584229921	0	0	0.0382692353090958	0.0205119117000678	0.0510204222215203	0	0.0327483967558657	0.473948176307268	0	0	0.1478990615413	0	0	0.00530260464473207	0.166	0.0775615147951986	1.05663714797321	2.0595
GTEX-17F96-2426-SM-7IGLN	0.000547635427850944	0	0.000603579088262789	0	0	0.104244251947387	0	0.00604069411861927	0.00416153761273163	0	0.0471628797159274	0.025811966177184	0	0.476230587014618	0.00707259808887175	0.266793405673978	0	0	0.0613308651345685	0	0	0	0.00900000000000001	0.330786856594948	0.978647679864007	1.7855
GTEX-17F97-2526-SM-7EWDV	0	0	0	0.0478570987229236	0	0.124539531907467	0	0	0	0	0.0501922837512291	0.0257223956988459	0.238545826649991	0	0.128358626103658	0.280301263572539	0	0	0.104482973593347	0	0	0	0.019	0.224517005343765	0.997644654905704	2.514
GTEX-17F98-0526-SM-79OK5	0.0894382711361632	0	0.0191413841377412	0.0153907654758979	0	0.129996447255593	0	0.0312742744065821	0	0	0.0411216901944598	0.000913368013642063	0.0348847397733303	0.147338452200192	0.0498027372901359	0.321539510939405	0	0	0.119158359176858	0	0	0	0.157	0.079877780510081	1.05122069900814	1.9245
GTEX-17GQL-0326-SM-7LG5U	0.0218308056566043	0.0237470612579396	0	0.0176256054561912	0	0.131813622315947	0	0.068231613818037	0	0	0.0215540552171094	0.0506885553571296	0.278232422717008	0	0.0346796374861221	0.247628307617178	0	0	0.103968313100734	0	0	0	0.139	0.0866391012212224	1.04735825169324	1.595
GTEX-17HG3-0126-SM-7IGNH	0.15130826215484	0	0.0450990575225116	0.126683904017313	0	0.101351921588223	0	0.185585190473452	0	0	0.0314786232079359	0.0362776641815222	0.0408959881907782	0.00416713291440356	0.00721810199061876	0.158131321332874	0	0.000767735321679861	0.108248972132287	0.00278612497156056	0	0	0.0629999999999999	0.134268526864728	1.0356671190184	3.679
