Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
GTEX-SSA3-0008-SM-47JWJ	0	0	0	0	0.0256613168796381	0.0991039424597596	0	0	0	0	0.0135906440111793	0	0.0014335642996187	0.116305318258585	0	0	0	0.0382115091213016	0	0.0333490590843463	0	0.000294645885571277	0.254	0.0552531532937701	1.09441352062678	0.32795
GTEX-T2IS-0008-SM-4DM75	0.0114523249687977	0	0	0	0.0545576658244173	0.0845645121273492	0	0	0	0	0.0390698465233145	0	0.0117634699719839	0.0359182878515157	0	0	0	0.0263762286477842	0	0.0197976640848376	0	0	0.517	0.0126810584179889	1.10238011458269	0.2835
GTEX-T2YK-0008-SM-4DM6M	0.00207337946641753	0	0	0	0.00142220089699886	0.0743922086065669	0	0	0	0	0.0223457480794969	0	0	0.0700801436279965	2.76898115302207e-05	0	0	0	0	0.025908629510993	0	0	0.252	0.0557392163621578	1.1004043603	0.19625
GTEX-T5JC-0008-SM-4DM6A	0	0.00504246087767167	0	0	0.0377617848536819	0.0826459700259958	0	0	0	0	0.0133712981130179	0.000106287079490407	0.00906267493242314	0.0791207490335175	0	0	0	0.099615356549445	0	0.0268234185347566	0	0	0.42	0.0267260303455288	1.10211113471024	0.35355
GTEX-T5JW-0008-SM-4DM5X	0	0.00820951934062734	0	0.0233232161441847	0.0404747361949596	0.0163745186746639	0	0	0	0	0.0209446616897898	0	0.00205942146198611	0.0455658647433733	0	0	0	0.0340733872618555	0	0.0294746744885597	0	0	0.616	0.00303823328874064	1.10291461854239	0.2205
GTEX-T6MN-0008-SM-4DM7H	0.0178556038070065	0	0	0.00367391618919595	0	0.100513554871321	0	0.00975887335193985	0.00515127532746293	0	0.0526028806643401	0.00276291966472353	0.0171282811289108	0.000340327393421765	0.00100630597372014	0.00882005217013583	0	0.00989087174679501	0	0.0328451377110271	0	0	0.904	-0.0247473471657948	1.13094727673997	0.26235
GTEX-T6MO-0008-SM-4DM6T	0.0146700074819114	0	0.00363995930247037	0.0457787784779263	0.0173366521635029	0.0494174409994335	0	0	0	0	0.0203937487969022	0	0.0126932867660228	0.0572658711836651	0	0	0	0.0106737500887939	0	0.0117305047393716	0	0	0.519	0.0123731388691272	1.10129576255737	0.2436
GTEX-TKQ1-0008-SM-4DXSO	0	0.00350222269189249	0	0.0177720321983932	0.0304622637889955	0.0337538363172466	0	0	0	0	0.0159129109034578	0	0.00344294433259038	0.0742543156547843	0	0	0	0.0762546830225788	0	0.0251947910900609	0	0	0.42	0.0267019305644912	1.10505760718476	0.28055
GTEX-TKQ2-0008-SM-4DM5L	0	0.00329922280703007	0.00149629883921749	0.0150279332538608	0.0294727760003048	0.0723959313756978	0	0	0	0	0.0180419911027047	0	0.000431998552263922	0.0314374919885624	0	0	0	0.0732905344805882	0	0.0276373131138401	0	0.00241850848592975	0.757	-0.0109560233881107	1.11817599158403	0.27495
GTEX-TML8-0008-SM-4DXUI	0	0	0	0	0	0.125371597193163	0	0	0.00848834231850615	0	0.0234040634910964	0.0215562080092745	0.0259196707679839	0.0123322132918481	0.00470280304101269	0.00572659936252089	0	0	0.0138815084749054	0	0.00416699404968906	0	0.743	-0.00920559958959322	1.12963685568852	0.24555
