SAMP2	COMMD3	pheno166.2	EXPR_BIN	PHENOTYPE
GTEX-YB5E	37.35	0.0877740283064444	(37.1,61.6]	0.0877740283064444
GTEX-YB5K	34.78	0.409596981262412	(31.5,37.1]	0.409596981262412
GTEX-YEC3	24.17	0.145988189888377	[17.4,31.5]	0.145988189888377
GTEX-YEC4	27.68	0	[17.4,31.5]	0
GTEX-YF7O	37.07	0.169700524198924	(37.1,61.6]	0.169700524198924
GTEX-YFC4	54.05	0.748861920047886	(37.1,61.6]	0.748861920047886
GTEX-YFCO	31.88	0.138463828095152	(31.5,37.1]	0.138463828095152
GTEX-YJ89	43.05	0.542984525758681	(37.1,61.6]	0.542984525758681
GTEX-Z9EW	30.85	0.109034916657201	[17.4,31.5]	0.109034916657201
GTEX-ZA64	33.01	0.107779045573798	(31.5,37.1]	0.107779045573798
GTEX-ZAB5	32.98	0.29957726695708	(31.5,37.1]	0.29957726695708
GTEX-ZAJG	24.37	0.0587456708528244	[17.4,31.5]	0.0587456708528244
GTEX-ZAK1	43.67	0.298640374334793	(37.1,61.6]	0.298640374334793
GTEX-ZC5H	37.91	0.204837046831288	(37.1,61.6]	0.204837046831288
GTEX-ZDTS	35.89	0.135635800510776	(31.5,37.1]	0.135635800510776
GTEX-ZDYS	28.49	0.109215996725347	[17.4,31.5]	0.109215996725347
GTEX-ZE7O	44.67	0.703305429460058	(37.1,61.6]	0.703305429460058
GTEX-ZF28	32.98	0	(31.5,37.1]	0
GTEX-ZGAY	33.75	0.285456692069558	(31.5,37.1]	0.285456692069558
GTEX-ZLFU	30.63	0.148714473085491	[17.4,31.5]	0.148714473085491
GTEX-ZLV1	43.3	0.581864644912479	(37.1,61.6]	0.581864644912479
GTEX-ZLWG	35.72	0.0861458749302059	(31.5,37.1]	0.0861458749302059
GTEX-ZPCL	34.81	0.0393225232555723	(31.5,37.1]	0.0393225232555723
GTEX-ZPU1	38.79	0.139036381241492	(37.1,61.6]	0.139036381241492
GTEX-ZQG8	33.7	0.018204825788584	(31.5,37.1]	0.018204825788584
GTEX-ZQUD	36.77	0.0886213900550256	(31.5,37.1]	0.0886213900550256
GTEX-ZT9W	20.27	0.0586413011178749	[17.4,31.5]	0.0586413011178749
GTEX-ZT9X	38.06	0.00812263820169205	(37.1,61.6]	0.00812263820169205
GTEX-ZTPG	32.91	0.256841934439061	(31.5,37.1]	0.256841934439061
GTEX-ZTSS	34.19	0.112310550043101	(31.5,37.1]	0.112310550043101
GTEX-ZTX8	33.96	0.0637076584627412	(31.5,37.1]	0.0637076584627412
GTEX-ZUA1	45.18	0.266001046385384	(37.1,61.6]	0.266001046385384
