SAMP2	C22orf43	pheno56.2	EXPR_BIN	PHENOTYPE
GTEX-13X6K	3.778	2.0460390722349	(1.33,5.74]	2.0460390722349
GTEX-144GM	0.2563	0.760137039727849	[0,0.795]	0.760137039727849
GTEX-145LS	3.98	0.776306681838124	(1.33,5.74]	0.776306681838124
GTEX-145LT	0.8041	0.215067720546917	(0.795,1.33]	0.215067720546917
GTEX-145ME	1.103	0.314273608354324	(0.795,1.33]	0.314273608354324
GTEX-145MH	0.807	0.398334788945037	(0.795,1.33]	0.398334788945037
GTEX-145MO	0.1816	0.364318381731903	[0,0.795]	0.364318381731903
GTEX-146FH	1.33	1.59823547980536	(0.795,1.33]	1.59823547980536
GTEX-1477Z	2.794	0.447492117098399	(1.33,5.74]	0.447492117098399
GTEX-147GR	1.593	0.558611191797954	(1.33,5.74]	0.558611191797954
GTEX-147JS	3.417	0.353715105965626	(1.33,5.74]	0.353715105965626
GTEX-148VJ	0.7174	1.18648760764701	[0,0.795]	1.18648760764701
GTEX-14A5H	0.7281	0.399603278184188	[0,0.795]	0.399603278184188
GTEX-14A5I	0.9625	0.505299574562434	(0.795,1.33]	0.505299574562434
GTEX-14AS3	1.37	0.767026463039009	(1.33,5.74]	0.767026463039009
GTEX-14BIN	0.7989	0.308511173645318	(0.795,1.33]	0.308511173645318
GTEX-14BMU	0.6748	0.280904082605244	[0,0.795]	0.280904082605244
GTEX-14C39	1.32	0.885689019192986	(0.795,1.33]	0.885689019192986
GTEX-14C5O	0.4693	0.259471521458432	[0,0.795]	0.259471521458432
GTEX-14DAQ	1.237	0.896023003471045	(0.795,1.33]	0.896023003471045
GTEX-14E1K	1.573	0.165395278673546	(1.33,5.74]	0.165395278673546
GTEX-14E6C	0.54	0.567509346207783	[0,0.795]	0.567509346207783
GTEX-14E6E	1.308	0.236512536547709	(0.795,1.33]	0.236512536547709
GTEX-14JG6	0.5018	0.224088776486388	[0,0.795]	0.224088776486388
