tis	pheno	beta_age_cib.rel	p_age_cib.rel	beta_sex_cib.rel	p_sex_cib.rel	beta_age_cib.abs	p_age_cib.abs	beta_sex_cib.abs	p_sex_cib.abs	beta_age_xcell	p_age_xcell	beta_sex_xcell	p_sex_xcell	p_age_brown	p_sex_brown	age.coef_direc	sex.coef_direc	p_age_brown.fdr	p_sex_brown.fdr	phenotype	xcell.fdr	cib.abs.fdr	cib.rel.fdr	brown.fdr
Esophagus - Muscularis	T cells CD8	0.00139278337143081	0.422160235940232	0.00567583074253423	0.204616114953073	0.00357567526018446	0.116915552541679	0.00701219684771903	0.232469415840491	-0.000186045997045429	0.506348664862362	0.000453757367265112	0.5293662007395	0.294452802165961	0.295556834957326	+	+	0.487039269460351	0.559446866169225	Esophagus - Muscularis-T cells CD8	0	0	0	0
Esophagus - Muscularis	MacrophageSum	0.00522255004906765	0.239545856374739	0.034200051859672	0.00294662512069753	0.0148289675969889	0.0637934365680904	0.0456462260545461	0.0269716147105642	0.00161933772470373	0.0416549963643351	0.00455396962539433	0.0263011192971488	0.0681510315742689	0.00619608070365287	+	+	0.238528610509941	0.0410490346617003	Esophagus - Muscularis-MacrophageSum	0	0	1	1
Esophagus - Muscularis	MastSum	0.004987982895221	0.407505268936928	-0.0684760342184638	1.32198263208659e-05	0.0135083929277831	0.15722101055279	-0.0619236182178599	0.0121183100586006	0.000934856163909745	0.0731964765297231	-0.00396310289896942	0.00332245705270806	0.157125360485239	0.000263896487823582	+	-	0.337902655033466	0.00299711011171069	Esophagus - Muscularis-MastSum	1	0	1	1
Esophagus - Muscularis	Myeloid_Sum	0.00893694092095012	0.0169679580310438	-0.0270447123954304	0.00511946204957725	0.029813290626877	0.0293362179380855	-0.00486532347929382	0.889888475313061	0.0115309491812661	0.18267573882094	-0.0125470962173788	0.57326095680184	0.0257436558507765	0.114557515697209	+	-	0.156953256638605	0.289121349140575	Esophagus - Muscularis-Myeloid_Sum	0	0	1	0
Esophagus - Muscularis	Monocytes	-0.00243990285268885	0.257288352377637	0.00476227349313934	0.390695567160515	-0.000456114405882117	0.893117442715983	0.00641492228543811	0.463531227324228	0.000883228427092153	0.30067096799336	0.000454912099460944	0.835997872792343	0.451557336375447	0.608647527430558	-	+	0.592669003992774	0.774551223638242	Esophagus - Muscularis-Monocytes	0	0	0	0
Esophagus - Muscularis	Lymph_Sum	-0.00893694092095011	0.016967958031044	0.0270447123954305	0.00511946204957722	0.000954002534421197	0.866401299730586	0.0393055900130526	0.00744247458063594	0.000939457792849766	0.559961513538145	0.00332042907415727	0.42410822580792	0.170740350449799	0.00521417853296133	+	+	0.348878195079003	0.0360458429017761	Esophagus - Muscularis-Lymph_Sum	0	1	1	1
Heart - Atrial Appendage	T cells CD8	0.00468363584468177	0.18933400467811	0.0138238371923839	0.0755233870800612	0.00798123850104206	0.0504524284583972	0.00741097266922723	0.402820925917416	0.000540711673722234	0.383113077429465	0.00010492604672447	0.937992646500847	0.11679047418401	0.314822465501971	+	+	0.310892952405322	0.582055488544342	Heart - Atrial Appendage-T cells CD8	0	0	0	0
Heart - Atrial Appendage	CD4_memory	-0.00225563890654493	0.606087150707165	-0.01031839959764	0.278945512819643	0.00168223493035106	0.774468607979244	-0.0188342254465713	0.141314634827957	0.000123014721565569	0.863345530867168	0.000117429157228553	0.939839059215986	0.89101455942151	0.356776573304988	+	-	0.915226911579703	0.603483778249926	Heart - Atrial Appendage-CD4_memory	0	0	0	0
Heart - Atrial Appendage	MacrophageSum	-0.00343595589093307	0.57733568268833	0.0185463437622632	0.167646640745698	0.00431778944049376	0.653659790170949	-0.00441057500715645	0.833233466013327	0.000363569102112486	0.855121479014717	0.0043384486506634	0.317322625913971	0.764457574315124	0.372930179655291	+	-	0.802680453030881	0.615007017546481	Heart - Atrial Appendage-MacrophageSum	0	0	0	0
Heart - Atrial Appendage	Bcellsum	0.000106199156261061	0.973672067357952	-0.0102261964344015	0.145095631450541	0.00093942732352851	0.857767836635105	-0.013907477267566	0.223540528623984	-0.0036375578175891	0.214419324509297	-0.00237013893155306	0.709870999157594	0.67601316055355	0.284965900903369	+	-	0.765068786494737	0.55370015986562	Heart - Atrial Appendage-Bcellsum	0	0	0	0
