SMTSD	MacrophageSum.CIB_Abs
Muscle - Skeletal	0.0361773032947221
Nerve - Tibial	1.35517454593572
Artery - Tibial	0.0952950572072515
Breast - Mammary Tissue	0.607971739221359
Thyroid	0.13223243670853
Lung	1.63964427705611
Esophagus - Mucosa	0.039653664505293
Testis	0.280027199394837
Stomach	0.3050621797049
Colon - Sigmoid	0.433846372539575
Skin - Not Sun Exposed (Suprapubic)	0.353152670311638
Brain - Cerebellum	0.0470361672155381
Brain - Cortex	0.189855461966267
Pituitary	0.973799488777942
Whole Blood	0.145762497880307
Thyroid	0.712856831522969
Artery - Aorta	0.21329396698163
Adrenal Gland	0.201549926927971
Heart - Atrial Appendage	0.210612764809899
Artery - Coronary	0.177709754187911
Heart - Left Ventricle	0.174572741009601
Esophagus - Muscularis	0.316988112437484
Esophagus - Mucosa	0.253561135581908
Esophagus - Gastroesophageal Junction	0.217090585246594
Stomach	0.0236498636016226
Adipose - Visceral (Omentum)	0.43049850542198
Skin - Not Sun Exposed (Suprapubic)	0.459250336632893
Breast - Mammary Tissue	0.356298956348922
Colon - Transverse	0.781607293574418
Colon - Sigmoid	0.114525730108817
Ovary	0.325257702140503
Vagina	0.336274299529609
Uterus	0.381297701964994
Muscle - Skeletal	0.0814596914951607
Artery - Tibial	0.0761932949936283
Adipose - Subcutaneous	0.312907747716654
Skin - Sun Exposed (Lower leg)	0.304214288188081
Whole Blood	0.0552144700846804
Lung	0.91478171147831
Thyroid	0.918851884876615
Adrenal Gland	0.301508059930672
Heart - Left Ventricle	0.218095456088635
Heart - Atrial Appendage	0.384347883274726
Artery - Aorta	0.70059273902429
Colon - Sigmoid	0.187514740646049
Ovary	0.249714169031314
Uterus	0.169058770386546
Vagina	0.298258050232611
Breast - Mammary Tissue	0.354064142212576
Esophagus - Mucosa	0.174219260705711
Minor Salivary Gland	0.445917740516584
Muscle - Skeletal	0.0853043098656321
Adipose - Subcutaneous	0.848231745471508
Skin - Sun Exposed (Lower leg)	0.595426194646573
Artery - Tibial	0.364596314296686
Pituitary	0.291785337604612
